LIVRE	NOUN	livre
PREMIER	NOUN	premier
I	NUM	i
L'	DET	le
école	NOUN	école
Saint-Francois-Xavier	NOUN	saint-francois-xavier
,	PUNCT	,
que	PRON	que
dirigeaient	VERB	diriger
,	PUNCT	,
que	PRON	que
dirigent	VERB	diriger
encore	ADV	encore
les	DET	le
Pères	NOUN	père
Jésuites	NOUN	jésuites
,	PUNCT	,
en	ADP	en
la	DET	le
pittoresque	ADJ	pittoresque
ville	NOUN	ville
de	ADP	de
Vannes	NOUN	vannes
,	PUNCT	,
se	PRON	se
trouvait	VERB	trouver
,	PUNCT	,
vers	ADP	vers
1862	NUM	@card@
,	PUNCT	,
dans	ADP	dans
tout	PRON	tout
l'	DET	le
éclat	NOUN	éclat
de	ADP	de
sa	PRON	son
renommée	NOUN	renommée
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Aujourd'hui	ADV	aujourd'hui
,	PUNCT	,
par	ADP	par
un	NUM	un
de	ADP	de
ces	PRON	ce
caprices	NOUN	caprice
de	ADP	de
la	DET	le
mode	NOUN	mode
qui	PRON	qui
atteignent	VERB	atteindre
et	CONJ	et
changent	VERB	changer
la	DET	le
forme	NOUN	forme
des	ADP	du
gouvernements	NOUN	gouvernement
,	PUNCT	,
des	ADP	du
royautés	NOUN	royauté
féminines	ADJ	féminin
,	PUNCT	,
des	ADP	du
chapeaux	NOUN	chapeau
et	CONJ	et
des	ADP	du
collèges	NOUN	collège
,	PUNCT	,
bien	ADV	bien
plus	ADV	plus
que	CONJ	que
par	ADP	par
les	DET	le
récentes	ADJ	récent
persécutions	NOUN	persécution
politiques	ADJ	politique
,	PUNCT	,
lesquelles	PRON	lequel
n'	ADV	ne
amenèrent	VERB	amener
qu'	CONJ	que
un	DET	un
changement	NOUN	changement
de	ADP	de
personnel	NOUN	personnel
vite	ADV	vite
rétabli	VERB	rétablir
,	PUNCT	,
elle	PRON	elle
est	VERB	être
tombée	VERB	tomber
au	ADP	au
niveau	NOUN	niveau
d'	ADP	de
un	DET	un
séminaire	NOUN	séminaire
diocésain	ADJ	diocésain
quelconque	ADJ	quelconque
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Mais	CONJ	mais
,	PUNCT	,
à	ADP	à
cette	PRON	ce
époque	NOUN	époque
,	PUNCT	,
il	PRON	il
en	PRON	en
existait	VERB	exister
peu	ADV	peu
,	PUNCT	,
soit	CONJ	soit
parmi	ADP	parmi
les	DET	le
congréganistes	NOUN	congréganiste
,	PUNCT	,
soit	CONJ	soit
parmi	ADP	parmi
les	DET	le
laïques	ADJ	laïque
,	PUNCT	,
d'	ADP	de
aussi	ADV	aussi
florissantes	ADJ	florissant
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Outre	ADV	outre
les	DET	le
fils	NOUN	fil|fils
des	ADP	du
familles	NOUN	famille
nobles	ADJ	noble
de	ADP	de
la	DET	le
Bretagne	NOUN	bretagne
,	PUNCT	,
de	ADP	de
l'	DET	le
Anjou	NOUN	anjou
,	PUNCT	,
de	ADP	de
la	DET	le
Vendée	NOUN	vendée
,	PUNCT	,
qui	PRON	qui
formaient	VERB	former
le	DET	le
fond	NOUN	fond
de	ADP	de
son	PRON	son
ordinaire	ADJ	ordinaire
clientèle	NOUN	clientèle
